#ppt,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
 ,eco1,eco2,eco3,eco4,eco5,eco6,eco1,eco2,eco3,eco4,eco5,eco6,eco1,eco2,eco3,eco4,eco5,eco6
TIMESTEP,MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm)
2088-05-01T00:00:00Z,247.140152,247.2730713,247.2524719,247.5340271,243.1435394,234.5861359,1204.246826,704.5166626,578.0707397,699.1226196,1363.64209,2128.571045,34.70225906,26.54273224,24.04310226,26.44092751,36.92752457,46.13644028
2088-06-01T00:00:00Z,116.8701782,129.4953461,141.185379,138.0643158,126.1797714,81.78795624,3656.0896,3117.67041,2408.509521,2151.923096,2713.541992,2281.325684,60.46560669,55.83610153,49.0765686,46.38882446,52.09167099,47.76322556
2088-07-01T00:00:00Z,191.2322693,202.2865448,214.016571,225.5231628,231.2769928,220.2973785,3286.384033,2736.817383,1762.130737,998.3464355,656.4076538,993.5063477,57.32699203,52.3146019,41.97774124,31.59662056,25.62045288,31.51993561
2088-08-01T00:00:00Z,590.4988403,568.1341553,543.6559448,548.6854858,576.6412964,708.2060547,15846.47852,17727.87305,17705.23828,21380.27344,32097.97656,61136.77734,125.8827972,133.1460571,133.0610352,146.2199554,179.1590881,247.2585297
2088-09-01T00:00:00Z,263.6225281,268.9947815,285.6365356,294.7720642,288.8477783,253.7561035,2048.644043,1833.729858,1735.193359,1530.462036,1775.679688,833.1322021,45.26194763,42.82207108,41.65565109,39.12112045,42.13881302,28.86402893
2088-10-01T00:00:00Z,5.635363579,6.510485649,9.293331146,11.084095,11.42658234,7.896015167,28.61983299,32.21696854,53.64122009,70.74848938,93.82604218,120.575676,5.349750519,5.675999165,7.324016571,8.411211967,9.686384201,10.98069572
2088-11-01T00:00:00Z,41.82619095,42.10969162,47.78045654,53.77125549,59.0788765,66.15222168,216.4203644,213.0548859,323.3842163,371.5497131,424.3222961,393.9925537,14.71123219,14.59639931,17.98288727,19.27562523,20.59908485,19.84924507
2088-12-01T00:00:00Z,46.79322052,47.61941147,51.98439407,56.0328064,58.24365234,59.61781693,105.2941132,141.9599457,210.2302246,244.6389771,243.8580933,208.5461731,10.26129246,11.91469479,14.49931812,15.64093876,15.61595631,14.44112778
2089-01-01T00:00:00Z,77.76737213,77.1339035,79.21952057,82.81974792,87.61972046,99.95585632,295.1402283,341.1478271,431.9900818,515.5610962,768.0059814,856.2961426,17.17964554,18.47018814,20.78437042,22.70597076,27.71292114,29.26253891
2089-02-01T00:00:00Z,48.37108231,47.62221909,51.31739044,54.37234879,56.91774368,58.554039,165.3904266,121.7436752,162.3175964,207.4336395,355.6500244,517.9210205,12.86042118,11.03375149,12.74039268,14.40255642,18.85868645,22.75787735
2089-03-01T00:00:00Z,78.49713898,77.05121613,79.44903564,83.21714783,88.146698,98.0484314,259.3479004,190.1381073,200.6652222,237.3955231,375.7362976,453.3962402,16.10428238,13.78905773,14.16563511,15.40764523,19.38391876,21.29310226
2089-04-01T00:00:00Z,126.5518723,124.9997025,129.892746,134.3117371,140.2812347,151.706192,1012.090027,679.6936646,484.9363098,388.4282227,423.0021973,409.280304,31.81336212,26.0709343,22.02126884,19.70858192,20.5670166,20.23067665
2089-05-01T00:00:00Z,232.791748,234.2141571,236.1945953,235.5522614,239.3978424,254.3700256,2011.684326,1089.058594,609.284729,467.197876,390.8681335,24.98251534,44.85180283,33.00088882,24.68369293,21.61476135,19.77038574,4.998251438
2089-06-01T00:00:00Z,151.9174042,134.0180511,128.7695618,132.9812927,145.6953278,180.2852783,6920.194336,2662.491699,750.5233765,806.1755981,1666.933472,2349.193115,83.18770599,51.59933853,27.39568138,28.39323235,40.8280983,48.46847534
2089-07-01T00:00:00Z,367.7937622,357.5056458,347.2203064,350.2759705,350.0181274,344.719635,7566.853027,6579.771484,4361.413574,2423.057617,1562.731934,1361.412842,86.98766327,81.11579132,66.04100037,49.2245636,39.53140259,36.89732742
